City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
643,Valdivia,CL,-39.8142,-73.2459,62.69,72,79,5.7,broken clouds
644,Launceston,AU,-41.45,147.1667,55.8,65,100,14.97,overcast clouds
645,Caucaia,BR,-3.7361,-38.6531,82.35,73,20,13.8,few clouds
646,Bantva,IN,21.4864,70.0689,65.48,34,0,9.73,clear sky
647,Maryborough,AU,-25.5333,152.7,79.25,56,2,4.76,clear sky
648,Innisfail,AU,-17.5333,146.0333,78.87,58,0,2.01,clear sky
649,Gurlan,UZ,41.8447,60.3919,6.87,54,0,0.94,clear sky
650,Imeni Poliny Osipenko,RU,52.4201,136.4853,0.81,86,100,9.93,overcast clouds
651,Sarh,TD,9.1429,18.3923,80.55,24,67,5.28,broken clouds
652,Mathathane,BW,-22.2687,28.7495,79.39,51,96,8.57,overcast clouds
653,Balikpapan,ID,-1.2675,116.8289,76.19,94,20,2.3,few clouds
654,Port-Gentil,GA,-0.7193,8.7815,82.36,89,40,8.05,thunderstorm
655,Coolum Beach,AU,-26.5333,153.1,78.12,80,4,5.03,clear sky
656,Kijini,TZ,-5.85,39.3167,78.53,79,100,8.97,overcast clouds
657,Heishan,CN,41.6892,122.1128,18.05,38,0,5.66,clear sky
